originalTransactionId,transactionId,productId,purchaseDate,expiresDate,transactionReason,priceMilli,priceDisplay,currency
350002361277449,350003226827653,169566_158677,1775318230000,1777910230000,RENEWAL,249000,249.0,TRY
280002493433362,280003106958887,169566_158677,1775318245000,1777910245000,RENEWAL,249000,249.0,TRY
140003219996509,140003549186376,169566_158677,1775318319000,1777910319000,RENEWAL,249000,249.0,TRY
310002163333373,310002854454473,169566_158677,1775318432000,1777910432000,RENEWAL,249000,249.0,TRY
110003018566168,110003397621799,169566_158677,1775318474000,1777910474000,RENEWAL,249000,249.0,TRY
280002393944444,280003106963440,169566_158677,1775318479000,1777910479000,RENEWAL,249000,249.0,TRY
390001521263025,390002277208867,169566_158677,1775318481000,1777910481000,RENEWAL,249000,249.0,TRY
560002270006076,560002512985657,169566_158677,1775318671000,1777910671000,RENEWAL,249000,249.0,TRY
700001505001565,700002522303235,169566_158677,1775318706000,1777910706000,RENEWAL,249000,249.0,TRY
590001609803889,590002571785325,169566_158677,1775318857000,1777910857000,RENEWAL,249000,249.0,TRY
520001601391912,520002743561762,169566_158677,1775318969000,1777910969000,RENEWAL,249000,249.0,TRY
450002431663989,450002872901813,169566_158677,1775319094000,1777911094000,RENEWAL,249000,249.0,TRY
380001833613124,380002367703940,169566_158677,1775319180000,1777911180000,RENEWAL,249000,249.0,TRY
550002430181467,550002887845660,169566_158677,1775319184000,1777911184000,RENEWAL,249000,249.0,TRY
550002302229028,550002887846963,169566_158677,1775319263000,1777911263000,RENEWAL,249000,249.0,TRY
500002769609982,500002780388325,169566_158677,1775319362000,1777911362000,RENEWAL,249000,249.0,TRY
280002785839772,280003106984212,169566_158677,1775319445000,1777911445000,RENEWAL,249000,249.0,TRY
70002577468569,70003438157516,169566_158677,1775319598000,1777911598000,RENEWAL,249000,249.0,TRY
460001590452265,460003116206444,169566_158677,1775319846000,1777911846000,RENEWAL,249000,249.0,TRY
500001717759026,500002780404716,169566_158677,1775320170000,1777912170000,RENEWAL,249000,249.0,TRY
420002557704903,420003047867667,169566_158677,1775320212000,1777912212000,RENEWAL,249000,249.0,TRY
350001049656729,350003226876741,169566_158677,1775320362000,1777912362000,RENEWAL,249000,249.0,TRY
180002929797455,180003373502879,169566_158677,1775320994000,1777912994000,RENEWAL,249000,249.0,TRY
390001922118216,390002277252805,169566_158677,1775321016000,1777913016000,RENEWAL,249000,249.0,TRY
390001732463587,390002277252734,169566_158677,1775321017000,1777913017000,RENEWAL,249000,249.0,TRY
350003213530703,350003226894157,169566_158677,1775321086000,1777913086000,RENEWAL,249000,249.0,TRY
720001634037533,720002469271945,169566_158677,1775321153000,1777913153000,RENEWAL,249000,249.0,TRY
360002116009156,360003030287273,169566_158677,1775321266000,1777913266000,RENEWAL,249000,249.0,TRY
550001674162626,550002887888781,169566_158677,1775321322000,1777913322000,RENEWAL,249000,249.0,TRY
390001754394594,390002277258132,169566_158677,1775321349000,1777913349000,RENEWAL,249000,249.0,TRY
270002729266288,270002803380641,169566_158677,1775321349000,1777913349000,RENEWAL,249000,249.0,TRY
590002325292462,590002571829887,169566_158677,1775321374000,1777913374000,RENEWAL,249000,249.0,TRY
160002644872459,160003294814341,169566_158677,1775321391000,1777913391000,RENEWAL,249000,249.0,TRY
260000910321700,260002899761338,169566_158677,1775321458000,1777913458000,RENEWAL,249000,249.0,TRY
370001609831583,370002648879957,169566_158677,1775321543000,1777913543000,RENEWAL,249000,249.0,TRY
270002214074227,270002803385266,169566_158677,1775321559000,1777913559000,RENEWAL,249000,249.0,TRY
450002273168597,450002872948634,169566_158677,1775321651000,1777913651000,RENEWAL,249000,249.0,TRY
370001794604373,370002648884116,169566_158677,1775321776000,1777913776000,RENEWAL,249000,249.0,TRY
530001628529566,530002819191160,169566_158677,1775321812000,1777913812000,RENEWAL,249000,249.0,TRY
370002030838956,370002645388538,169566_158677,1775149859000,1777741859000,RENEWAL,249000,249.0,TRY
280002735119445,280003106482231,169566_158677,1775268605000,1777860605000,RENEWAL,9990,9.99,EUR
590001841204156,590002571403630,169566_158677,1775297384000,1777889384000,RENEWAL,249000,249.0,TRY
550001508649368,550002887414574,169566_158677,1775297432000,1777889432000,RENEWAL,249000,249.0,TRY
340002268411895,340002583462858,169566_158677,1775297809000,1777889809000,RENEWAL,249000,249.0,TRY
410002457886192,410003137860107,169566_158677,1775298169000,1777890169000,RENEWAL,249000,249.0,TRY
460001624298197,460003115744494,169566_158677,1775298472000,1777890472000,RENEWAL,249000,249.0,TRY
100002358414095,100002634007386,169566_158677,1775298895000,1777890895000,RENEWAL,249000,249.0,TRY
390001176465817,390002276881791,169566_158677,1775299665000,1777891665000,RENEWAL,249000,249.0,TRY
70002506527238,70003437697649,169566_158677,1775299719000,1777891719000,RENEWAL,249000,249.0,TRY
190002362871852,190003315613449,169566_158677,1775300111000,1777892111000,RENEWAL,249000,249.0,TRY
510002098396814,510002600362216,169566_158677,1775300402000,1777892402000,RENEWAL,249000,249.0,TRY
350002024597277,350003226406568,169566_158677,1775300501000,1777892501000,RENEWAL,249000,249.0,TRY
190001968719591,190003315624271,169566_158677,1775300594000,1777892594000,RENEWAL,249000,249.0,TRY
710002052241836,710002710220736,169566_158677,1775300849000,1777892849000,RENEWAL,249000,249.0,TRY
340002318649209,340002583521984,169566_158677,1775300959000,1777892959000,RENEWAL,249000,249.0,TRY
90002728412244,90003169177326,169566_158677,1775301200000,1777893200000,RENEWAL,249000,249.0,TRY
320002298295421,320002946031693,169566_158677,1775302434000,1777894434000,RENEWAL,249000,249.0,TRY
450002263121161,450002872585620,169566_158677,1775302586000,1777894586000,RENEWAL,249000,249.0,TRY
730001527781409,730002438637220,169566_158677,1775302624000,1777894624000,RENEWAL,49990,49.99,PLN
500002011361377,500002780089818,169566_158677,1775303566000,1777895566000,RENEWAL,249000,249.0,TRY
460002436917184,460003115856412,169566_158677,1775303644000,1777895644000,RENEWAL,249000,249.0,TRY
160001393983844,160003294341793,169566_158677,1775303673000,1777895673000,RENEWAL,249000,249.0,TRY
370002050864938,370002648526551,169566_158677,1775303792000,1777895792000,RENEWAL,249000,249.0,TRY
360001825847500,360003029915697,169566_158677,1775303816000,1777895816000,RENEWAL,249000,249.0,TRY
230002027454499,230003325573537,169566_158677,1775304502000,1777896502000,RENEWAL,249000,249.0,TRY
540001803720118,540002503368431,169566_158677,1775304970000,1777896970000,RENEWAL,249000,249.0,TRY
260002291292349,260002899359273,169566_158677,1775305065000,1777897065000,RENEWAL,249000,249.0,TRY
480002828131738,480003147155751,169566_158677,1775305192000,1777897192000,RENEWAL,39990,39.99,AED
490002188793378,490002793475858,169566_158677,1775305312000,1777897312000,RENEWAL,249000,249.0,TRY
600001318672583,600002550412200,169566_158677,1775305922000,1777897922000,RENEWAL,249000,249.0,TRY
430002291345299,430002967175534,169566_158677,1775306159000,1777898159000,RENEWAL,249000,249.0,TRY
1060000018194337,60003072463153,169566_158677,1775306185000,1777898185000,RENEWAL,249000,249.0,TRY
200001867620681,200003282884766,169566_158677,1775306232000,1777898232000,RENEWAL,9990,9.99,EUR
530001691227712,530002818898151,169566_158677,1775306884000,1777898884000,RENEWAL,249000,249.0,TRY
210002394175495,210002875557148,169566_158677,1775306972000,1777898972000,RENEWAL,249000,249.0,TRY
90001771051860,90003169295554,169566_158677,1775307063000,1777899063000,RENEWAL,249000,249.0,TRY
210001992878860,210002875581814,169566_158677,1775307987000,1777899987000,RENEWAL,249000,249.0,TRY
550001672228381,550002887626421,169566_158677,1775308161000,1777900161000,RENEWAL,249000,249.0,TRY
250001985902432,250002753113870,169566_158677,1775309087000,1777901087000,RENEWAL,249000,249.0,TRY
480002272210216,480003147247953,169566_158677,1775309277000,1777901277000,RENEWAL,249000,249.0,TRY
1410000007690331,410003138112874,169566_158677,1775309699000,1777901699000,RENEWAL,249000,249.0,TRY
560001585836187,560002512834639,169566_158677,1775310043000,1777902043000,RENEWAL,249000,249.0,TRY
300002350801282,300003041329096,169566_158677,1775310688000,1777902688000,RENEWAL,249000,249.0,TRY
280001877824655,280003106790265,169566_158677,1775310806000,1777902806000,RENEWAL,249000,249.0,TRY
460002435852365,460003115886564,169566_158677,1775276299000,1777868299000,RENEWAL,249000,249.0,TRY
370002634435550,370002648571148,169566_158677,1775277219000,1777869219000,RENEWAL,249000,249.0,TRY
530002195892170,530002818693120,169566_158677,1775296710000,1777888710000,RENEWAL,249000,249.0,TRY
370001815836999,370002648392226,169566_158677,1775296974000,1777888974000,RENEWAL,249000,249.0,TRY
190002579751016,190003315546031,169566_158677,1775297113000,1777889113000,RENEWAL,249000,249.0,TRY
90002449383351,90003169092098,169566_158677,1775297130000,1777889130000,RENEWAL,249000,249.0,TRY
590002006008062,590002571401841,169566_158677,1775297191000,1777889191000,RENEWAL,249000,249.0,TRY
600002026787712,600002550259168,169566_158677,1775297303000,1777889303000,RENEWAL,249000,249.0,TRY
500002173687682,500002779977014,169566_158677,1775297661000,1777889661000,RENEWAL,249000,249.0,TRY
120002852023935,120003646489942,169566_158677,1775297773000,1777889773000,RENEWAL,249000,249.0,TRY
170003490982262,170003505503957,169566_158677,1775297822000,1777889822000,RENEWAL,249000,249.0,TRY
390002042335936,390002276856536,169566_158677,1775298213000,1777890213000,RENEWAL,249000,249.0,TRY
150002566864687,150003030797658,169566_158677,1775298346000,1777890346000,RENEWAL,249000,249.0,TRY
600001983739449,600002550280419,169566_158677,1775298500000,1777890500000,RENEWAL,249000,249.0,TRY
560001400937102,560002512633812,169566_158677,1775298872000,1777890872000,RENEWAL,249000,249.0,TRY
450002861436475,450002872512758,169566_158677,1775298908000,1777890908000,RENEWAL,249000,249.0,TRY
550002611660359,550002887447045,169566_158677,1775299133000,1777891133000,RENEWAL,249000,249.0,TRY
460002436729190,460003115761501,169566_158677,1775299154000,1777891154000,RENEWAL,249000,249.0,TRY
170002734526494,170003505541196,169566_158677,1775299367000,1777891367000,RENEWAL,249000,249.0,TRY
460002527871188,460003115764775,169566_158677,1775299395000,1777891395000,RENEWAL,249000,249.0,TRY
60002384959733,60003072303124,169566_158677,1775299446000,1777891446000,RENEWAL,249000,249.0,TRY
170002734529152,170003505545750,169566_158677,1775299512000,1777891512000,RENEWAL,249000,249.0,TRY
480002726882859,480003147026227,169566_158677,1775299528000,1777891528000,RENEWAL,249000,249.0,TRY
290002333589422,290002936686514,169566_158677,1775299871000,1777891871000,RENEWAL,249000,249.0,TRY
480002794538362,480003147035848,169566_158677,1775299957000,1777891957000,RENEWAL,249000,249.0,TRY
530002449090104,530002818758801,169566_158677,1775300066000,1777892066000,RENEWAL,249000,249.0,TRY
510002194374174,510002600364790,169566_158677,1775300525000,1777892525000,RENEWAL,249000,249.0,TRY
530002304616145,530002818771822,169566_158677,1775300734000,1777892734000,RENEWAL,249000,249.0,TRY
110002616982249,110003397217306,169566_158677,1775300834000,1777892834000,RENEWAL,249000,249.0,TRY
70002097029571,70003437725841,169566_158677,1775300971000,1777892971000,RENEWAL,249000,249.0,TRY
380001061617006,380002367452608,169566_158677,1775300985000,1777892985000,RENEWAL,249000,249.0,TRY
430002146349951,430002967077200,169566_158677,1775302031000,1777894031000,RENEWAL,249000,249.0,TRY
720001884615374,720002468918753,169566_158677,1775302169000,1777894169000,RENEWAL,249000,249.0,TRY
280003093676954,280003106593801,169566_158677,1775302244000,1777894244000,RENEWAL,249000,249.0,TRY
90002641361494,90003169207054,169566_158677,1775302682000,1777894682000,RENEWAL,249000,249.0,TRY
600002540184035,600002550362091,169566_158677,1775303170000,1777895170000,RENEWAL,249000,249.0,TRY
720001888292478,720002468943853,169566_158677,1775303454000,1777895454000,RENEWAL,249000,249.0,TRY
590002561291673,590002571529293,169566_158677,1775304339000,1777896339000,RENEWAL,249000,249.0,TRY
360002216294765,360003029929796,169566_158677,1775304553000,1777896553000,RENEWAL,249000,249.0,TRY
600001472642744,600002550387868,169566_158677,1775304573000,1777896573000,RENEWAL,249000,249.0,TRY
140002556481912,140003548863904,169566_158677,1775304746000,1777896746000,RENEWAL,249000,249.0,TRY
80002277109226,80002474704397,169566_158677,1775305046000,1777897046000,RENEWAL,9990,9.99,GBP
310002262849204,310002854156523,169566_158677,1775305248000,1777897248000,RENEWAL,249000,249.0,TRY
380001901076255,380002367520822,169566_158677,1775305756000,1777897756000,RENEWAL,249000,249.0,TRY
350002827712973,350003226535769,169566_158677,1775305900000,1777897900000,RENEWAL,249000,249.0,TRY
300002496107654,300003041224455,169566_158677,1775306058000,1777898058000,RENEWAL,249000,249.0,TRY
570002184961844,570002518750610,169566_158677,1775306324000,1777898324000,RENEWAL,249000,249.0,TRY
1290000003741746,290002936835395,169566_158677,1775306365000,1777898365000,RENEWAL,249000,249.0,TRY
700002174191725,700002522082375,169566_158677,1775306846000,1777898846000,RENEWAL,249000,249.0,TRY
70002704778686,70003437874995,169566_158677,1775307461000,1777899461000,RENEWAL,249000,249.0,TRY
500002219292317,500002780165655,169566_158677,1775307670000,1777899670000,RENEWAL,249000,249.0,TRY
430002677439257,430002967212233,169566_158677,1775307736000,1777899736000,RENEWAL,249000,249.0,TRY
390002267099898,390002277024220,169566_158677,1775307883000,1777899883000,RENEWAL,249000,249.0,TRY
80002180844198,80002474754636,169566_158677,1775308863000,1777900863000,RENEWAL,249000,249.0,TRY
550001609156668,550002887647763,169566_158677,1775309056000,1777901056000,RENEWAL,249000,249.0,TRY
120002968421809,120003646767454,169566_158677,1775309089000,1777901089000,RENEWAL,249000,249.0,TRY
100002395764064,100002634176675,169566_158677,1775309129000,1777901129000,RENEWAL,249000,249.0,TRY
170003043577996,170003505792384,169566_158677,1775309450000,1777901450000,RENEWAL,249000,249.0,TRY
470001744434758,470003155980678,169566_158677,1775309518000,1777901518000,RENEWAL,249000,249.0,TRY
310002264702371,310002854255344,169566_158677,1775309602000,1777901602000,RENEWAL,249000,249.0,TRY
720002407524932,720002469078495,169566_158677,1775310589000,1777902589000,RENEWAL,249000,249.0,TRY
410002782766440,410003138130269,169566_158677,1775310621000,1777902621000,RENEWAL,249000,249.0,TRY
340001971647841,340002581298036,169566_158677,1775189176000,1777781176000,RENEWAL,9990,9.99,USD
150002317488714,150003032264243,169566_158677,1775354157000,1777946157000,RENEWAL,9990,9.99,USD
180002734695380,180003374294319,169566_158677,1775351454000,1777943454000,RENEWAL,12990,12.99,CAD
550002289271767,550002888576404,169566_158677,1775352772000,1777944772000,RENEWAL,12990,12.99,CAD
340001615915233,340002584394370,169566_158677,1775344660000,1777936660000,RENEWAL,249000,249.0,TRY
310001726079888,310002855129988,169566_158677,1775346672000,1777938672000,RENEWAL,249000,249.0,TRY
580001617340632,580002120348678,169566_158677,1775344163000,1777936163000,RENEWAL,249000,249.0,TRY
540002174121129,540002504071322,169566_158677,1775343932000,1777935932000,RENEWAL,249000,249.0,TRY
700001496036349,700002522797795,169566_158677,1775344243000,1777936243000,RENEWAL,249000,249.0,TRY
